,Unnamed: 0,AIN,TRA,Admin Region No,Common Area KY,Yr Sold to State,Recording Date,LAND Value,Improvement Value,GPP KY,Exmpt Claim Type KY,GPP Value,Fixture Value,Real Est Exmpt Value,PP Exmpt Value,Fixture Exmpt Value,Hmownr Exmpt Value,1st Owner Assee Name,1st Owner Name Overflow,2nd Owner Assee Name,Special Name Assee,SA KY,SA Date of Last Chng,SA Postal City Cde,SA House Number,SA Fraction,SA Direction,SA Unit,SA ZIP Cde,SA Street Name,SA City and State,MAO KY,MAO Date Of Last Chng,MAO Postal City Cde,MA House Number,MA Fraction,MA Direction,MA Unit,MA ZIP Cde,MA Street Name,MA City and State,LDLL Narative,LDLL Lot,LDLL Division,LDLL Region,LD Line1,LD Line2,LD Line3,LD Line4,LD Line 5,Zoning Code,Use Cde,Effective Yr,YR Built,Built SQ FT Main
28,28,4237025043,67,25,0,0,20141020,715124,91422,ÿ,ÿ,0,0,0,0,0,0,"PASQUINELLI,JOHN",,,,D,19670924,99,2802,,,,90291,ABBOT KINNEY BLVD,LOS ANGELES CA,F,20141216,0,3449,,E,,85018,OREGON AVE,PHOENIX AZ,TR=5809 EX OF ST LOTS 177 AND 178,,,,,,,,,LAC2,7000,0,0,0
88,88,2024013015,16,24,0,0,19581118,190518,1605954,ÿ,5,0,0,1796472,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,CANOGA PARK WARD,RE:501-6827,D,19940609,15,7045,,,,91303,FARRALONE AVE,LOS ANGELES CA,F,20020823,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,968,,,TRACT # 1000 LOT COM W 30 FT FROM NE COR,OF LOT 968 TH W 439.77 FT TH S 165 FT,TH W 110.23 FT TH S 165 FT TH E 550 FT,TH N 330 FT TO BEG PART OF,,LARA,7100,1960,1960,13139
90,90,2024016109,16,24,0,2015,20140228,7766510,8802044,ÿ,ÿ,0,0,0,0,0,0,SOLOMON FOUNDATION,,,C/O SARAH REED,D,20041208,15,22450,,,,91307,SHERMAN WAY,LOS ANGELES CA,F,20140318,0,9780,,,STE 295,80112,PYRAMID CT,ENGLEWOOD CO,LOT 962,,,,TR=1000 W 340 FT OF E 615 FT EX OF ST OF,,,,,LAA1,7100,0,0,0
113,113,2059001012,9036,24,0,0,19701006,356214,1296540,ÿ,5,0,0,1652754,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CH JESUS CHRIST OF LDS,,RE:511-9774,D,19950605,105,32165,,,,91361,WATERGATE RD,WESTLAKE VILLAGE CA,F,20070410,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,7,,,PARCEL MAP AS PER BK 26 PG 72 OF P M,,,,,WVC2*,7100,0,0,0
117,117,2074039016,37,24,0,0,19580606,185964,1332343,ÿ,5,0,0,1518307,0,0,0,CORP OF PRESIDING BISHOP OF THE,CHURCH OF JESUS CHRIST OF LDS,,RE:501-7084,D,19940609,104,4501,,,,91364,DESERET DR,LOS ANGELES CA,F,20020620,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TR NO 24406,,,,"3.52 MORE OR LESS ACS COM S 76›46'50"" W",6.75 FT FROM E COR OF LOT 16 TRACT,"NO 24406 TH S 76›46'50"" W 117.25 FT TH S",19›13' E TO NE LINE OF MULHOLLAND DR,TH SE ON SD NE LINE AND N ON W LINE OF,LARA,7100,1962,1962,2676
120,120,2102016086,8852,24,0,0,19770804,315174,1925398,ÿ,5,0,0,2240572,0,0,0,CORP PRESIDING BISHOP CH JESUS,CHRIST LATTER DAY SAINTS,,,D,20020923,76,18425,,,,91335,INGOMAR ST,RESEDA CA,F,20020620,0,50,,E,,84150,TEMPLE RE 501 8560,SALT LAKE CITY UT,P M 280-12-13 LOT C,,,,,,,,,LARA,7100,1991,1991,14827
156,156,2125015001,8852,24,0,0,19971017,168393,813938,ÿ,8,0,0,950595,0,0,0,UNIVERSAL CHURCH,,,,D,19950605,76,18449,,,,91335,KITTRIDGE ST,LOS ANGELES CA,F,20131220,0,247,,,,7105,WALNUT ST,NEWARK NJ,,160,,,TRACT # 1875 LOT ON N LINE OF KITTRIDGE,ST COM W THEREON 400 FT FROM SE COR OF,LOT 160 TH W ON SD N LINE 34.32 FT TH NW,ON A CURVE CONCAVE TO SW RADIUS EQUALS,2170 FT TO E LINE OF TR # 19363 TH N ON,LARA,7100,1954,1950,9856
179,179,2161001045,37,24,0,0,19580411,125898,1070785,ÿ,5,0,0,1196683,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE:501-8447,D,19950605,91,5520,,,,91356,TOPEKA DR,LOS ANGELES CA,F,20070307,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,C,,,PARCEL MAP AS PER BK 12 PG 16 OF P M,,,,,LARA,7100,1966,1966,17725
201,201,2222005001,16,24,0,0,19670145,318936,1047509,ÿ,5,0,0,1366445,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,VAN NUYS WARD,RE:#501-9435,D,19950605,98,15557,,,,91406,SATICOY ST,LOS ANGELES CA,F,20060217,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,NO 19270 AND POR OF LOT 443 TR NO 1000,,,,*LOT (EX OF ST) COM AT NW COR OF LOT 10,TR NO 19270 TH E ON N LINE OF SD LOT,337.82 FT TH SE ON A CURVE CONCAVE TO NE,(R=95 FT) 48.92 FT TH SW TO A PT IN W,LINE OF LOT 11 SD TR S THEREON 5 FT,LARA,7100,1960,1954,32612
225,225,2246030015,13,24,0,0,19670145,304435,585834,ÿ,5,0,0,890269,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE:501-9087,D,19950605,98,14001,,,,91401,BURBANK BLVD,LOS ANGELES CA,F,20070215,0,50,,E,UNIT E,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO 28131,1,,,,,,,,LAR1,7100,1964,1964,3196
227,227,2250001036,16,24,0,0,19860121,484635,656790,ÿ,8,0,0,922311,0,0,0,BYZANTINE CATHOLIC BISHOP,OF VAN NUYS,,,D,20081207,50,5325,,,,91411,SEPULVEDA BLVD,LOS ANGELES CA,F,20111205,0,8131,,N,,85020,16TH ST,PHOENIX AZ,EX OF ST OF,5,,,TRACT NO 1201 N 250 FT OF S 407.09 FT,,,,,LAR3,7100,0,0,0
229,229,2257002008,16,24,0,0,19561204,178921,1134984,ÿ,5,0,0,1313905,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,ENCINO RESEDA THIRD WARDS,RE:501-8226,D,19940609,27,5338,,,,91316,WHITE OAK AVE,LOS ANGELES CA,F,20070314,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF,16,16,,TRACT NO 2955   LOT (EX OF ST) COM AT SE,"COR OF LOT 2 TR NO 28726 TH S 0›03'30"" E","264 FT TH N 89›43'30"" W TO E LINE OF","WHITE OAK AVE TH N 0›10'45"" E 132 FT","TH S 89›43'30"" E 280 FT TH N 0›10'45"" E",LARA,7100,1961,1961,17410
260,260,2317009013,13,24,0,0,19650000,172094,1542723,ÿ,5,0,0,1714817,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE:501-6614,D,19950605,62,11830,,,,91605,SATICOY ST,LOS ANGELES CA,F,20060922,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO 28861,1,,,,,,,,LAR1,7100,1964,1964,25772
269,269,2334004023,8831,24,0,0,20141002,1218300,812200,ÿ,ÿ,0,0,0,0,0,0,ARMENIAN MISSIONARY ASSOCIATION,OF AMERICA INC,,,D,20070418,50,11960,,,,91606,VICTORY BLVD,LOS ANGELES CA,F,20141028,0,31,,W,,7652,CENTURY RD,PARAMUS NJ,TRACT # 20571,1,,,,,,,,LARD1.5,7100,1958,1958,12419
313,313,2404025174,13,24,0,0,19830307,287022,2205810,ÿ,5,0,0,2492832,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,RE #525-4639,D,19950605,90,8525,,,,91352,GLENOAKS BLVD,LOS ANGELES CA,F,20130201,0,50,,E,22ND FL,84150,NORTH TEMPLE,SALT LAKE CITY UT,POR OF,46,,,TR=482*FOR DESC SEE ASSESSOR'S MAPS,,,,,LAR1,7100,0,0,0
327,327,2423011027,13,24,0,0,19700000,343792,1415274,ÿ,5,0,0,1759066,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE:504-5282,D,20000307,62,11022,,,,91602,RIVERSIDE DR,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,46,,,TRACT NO 6449   (EX OF STS) LOT 44,AND ALL OF LOTS 43 AND,,,,LAR3,7100,1980,1952,21689
454,454,2556031006,13,24,0,0,19670145,96696,905662,ÿ,5,0,0,1002358,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,SUNLAND WARD,RE:501-7394,D,19950605,89,7955,,,,91040,HILLROSE ST,LOS ANGELES CA,F,20061115,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT # 20812,1,,,,,,,,LAR1,7100,1980,1956,19528
